sample_id,cnt_ratio,lig_ratio,cnt_conductivity,lig_conductivity,composite_conductivity,synergy_factor,cnt_diameter,cnt_layers,lig_power,lig_speed,method,source
CNT-LIG-0.1-000,0.1,0.9,22646.8506723283,50.0,2917.2562477847637,1.2032848298702996,15.0,13,0.262,62.3,CNT-LIG Composite,Simulated
CNT-LIG-0.1-001,0.1,0.9,172103.0,3200.0,23840.10821215438,1.2032848298702996,43.94,16,0.3,20.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-002,0.1,0.9,65533.9805825242,50.0,8454.000939972271,1.2032848298702996,15.0,13,0.12,45.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-003,0.1,0.9,839297.0,1750.0,118556.43080296316,1.2032848298702996,9.24,15,0.33,31.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-004,0.1,0.9,226017.0,2200.0,28886.189429763344,1.2032848298702996,30.1,18,0.28,32.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-005,0.1,0.9,20561.1952992113,2614.6,5181.371514085677,1.2032848298702996,10.0,12,0.283,32.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-006,0.1,0.9,5600000.0,2309.9188337316086,783149.6907371155,1.2032848298702996,1.5,2,1.0,12.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-007,0.1,0.9,285022.0,2550.0,39901.74810647907,1.2032848298702996,30.79,10,0.34,35.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-008,0.1,0.9,1931064.0,1650.0,223156.1894944375,1.2032848298702996,1.15,1,0.26,46.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-009,0.1,0.9,12209.3023255813,132.51071782019037,1700.1250185111423,1.2032848298702996,30.0,14,0.41,23.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-010,0.1,0.9,848921.0,81.49270844466024,97499.75652965915,1.2032848298702996,13.75,19,0.68,26.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-011,0.1,0.9,64729.72972973,4900.0,12485.428439760413,1.2032848298702996,7.0,19,0.56,13.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-012,0.1,0.9,40000.0,3450.0,8756.200457845087,1.2032848298702996,30.0,5,0.41,25.0,CNT-LIG Composite,Simulated
CNT-LIG-0.1-013,0.1,0.9,343670.0,50.0,33485.03433790014,1.2032848298702996,25.61,5,0.152,48.1,CNT-LIG Composite,Simulated
CNT-LIG-0.1-014,0.1,0.9,5965.9090909091,4100.0,4268.278951972443,1.2032848298702996,30.0,9,0.49,20.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-000,0.2,0.8,22646.8506723283,50.0,5757.797690145309,1.3351600230178196,15.0,13,0.262,62.3,CNT-LIG Composite,Simulated
CNT-LIG-0.2-001,0.2,0.8,172103.0,3200.0,44374.163191785505,1.3351600230178196,43.94,16,0.3,20.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-002,0.2,0.8,65533.9805825242,50.0,18104.6773557358,1.3351600230178196,15.0,13,0.12,45.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-003,0.2,0.8,839297.0,1750.0,205468.09501764973,1.3351600230178196,9.24,15,0.33,31.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-004,0.2,0.8,226017.0,2200.0,53847.99393007418,1.3351600230178196,30.1,18,0.28,32.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-005,0.2,0.8,20561.1952992113,2614.6,9497.254525325561,1.3351600230178196,10.0,12,0.283,32.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-006,0.2,0.8,5600000.0,2309.9188337316086,1464028.6903255624,1.3351600230178196,1.5,2,1.0,12.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-007,0.2,0.8,285022.0,2550.0,79366.07243775307,1.3351600230178196,30.79,10,0.34,35.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-008,0.2,0.8,1931064.0,1650.0,443699.22341538686,1.3351600230178196,1.15,1,0.26,46.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-009,0.2,0.8,12209.3023255813,132.51071782019037,3216.6240685748685,1.3351600230178196,30.0,14,0.41,23.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-010,0.2,0.8,848921.0,81.49270844466024,229291.58048809617,1.3351600230178196,13.75,19,0.68,26.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-011,0.2,0.8,64729.72972973,4900.0,19926.844637160728,1.3351600230178196,7.0,19,0.56,13.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-012,0.2,0.8,40000.0,3450.0,14906.061712580376,1.3351600230178196,30.0,5,0.41,25.0,CNT-LIG Composite,Simulated
CNT-LIG-0.2-013,0.2,0.8,343670.0,50.0,86308.97297246706,1.3351600230178196,25.61,5,0.152,48.1,CNT-LIG Composite,Simulated
CNT-LIG-0.2-014,0.2,0.8,5965.9090909091,4100.0,5798.201969266302,1.3351600230178196,30.0,9,0.49,20.0,CNT-LIG Composite,Simulated
CNT-LIG-0.3-000,0.3,0.7,22646.8506723283,50.0,9321.835958952572,1.4524187090179796,15.0,13,0.262,62.3,CNT-LIG Composite,Simulated
CNT-LIG-0.3-001,0.3,0.7,172103.0,3200.0,92735.90231501525,1.4524187090179796,43.94,16,0.3,20.0,CNT-LIG Composite,Simulated
