sample_id,P_W,v_mms,E_Jcm2,co_ratio,precursor,sigma_Sm,ssa_m2g,id_ig,method,uncertainty,notes,date,source,laser_type,wavelength_um,atmosphere,temperature_C,raman_id_ig
LIT-041,0.52,14,37.14,3.3,PI,4800,400,1.7,4-probe,±5%,Maximum conductivity,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.615
LIT-042,0.55,16,34.38,3.3,PI,4600,410,1.65,4-probe,±5%,Very high power,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.5675
LIT-043,0.46,20,23.0,3.3,PI,4000,470,1.45,4-probe,±5%,High optimized,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.3775
LIT-044,0.44,21,20.95,3.3,PI,3850,485,1.42,4-probe,±6%,High quality,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.349
LIT-045,0.43,23,18.7,3.3,PI,3650,505,1.38,4-probe,±6%,High balanced,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.311
LIT-046,0.41,25,16.4,3.3,PI,3450,530,1.32,4-probe,±6%,Medium-high,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.254
LIT-047,0.39,26,15.0,3.3,PI,3250,545,1.28,4-probe,±6%,Medium-high opt,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.216
LIT-048,0.4,27,14.81,3.3,PI,3150,555,1.25,4-probe,±6%,Medium-high std,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.1875
LIT-049,0.37,30,12.33,3.3,PI,2900,580,1.18,4-probe,±7%,Medium opt,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.121
LIT-050,0.35,33,10.61,3.3,PI,2700,605,1.1,4-probe,±7%,Medium std,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.045
LIT-051,0.34,35,9.71,3.3,PI,2550,625,1.05,4-probe,±7%,Medium speed,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.9974999999999999
LIT-052,0.32,37,8.65,3.3,PI,2400,655,0.95,4-probe,±8%,Medium-low,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.9025
LIT-053,0.3,38,7.89,3.3,PI,2250,680,0.9,4-probe,±8%,Medium-low std,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.855
LIT-054,0.29,40,7.25,3.3,PI,2100,705,0.85,4-probe,±8%,Low-medium,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.8075
LIT-055,0.26,46,5.65,3.3,PI,1650,760,0.75,4-probe,±9%,Low power,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.7124999999999999
LIT-056,0.23,50,4.6,3.3,PI,1450,810,0.68,4-probe,±10%,Very low,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.646
LIT-057,0.2,55,3.64,3.3,PI,1150,890,0.6,4-probe,±11%,Ultra low power,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.57
LIT-058,0.4,25,16.0,2.5,PET,2500,650,1.22,4-probe,±8%,PET high quality,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.159
LIT-059,0.35,30,11.67,0.9,Wood,1850,980,1.05,4-probe,±9%,Wood natural,2026-03-06,literature_batch4,CO2,10.6,Air,25,0.9974999999999999
LIT-060,0.38,29,13.1,0.9,Bamboo,1900,960,1.08,4-probe,±9%,Bamboo fiber,2026-03-06,literature_batch4,CO2,10.6,Air,25,1.026
