sample_id,P_W,v_mms,E_Jcm2,co_ratio,precursor,sigma_Sm,ssa_m2g,id_ig,method,uncertainty,notes,date,source,laser_type,wavelength_um,atmosphere,temperature_C,raman_id_ig
LIT-061,0.58,12,48.33,3.3,PI,5200,380,1.8,4-probe,±5%,Record high conductivity,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.71
LIT-062,0.6,14,42.86,3.3,PI,5000,390,1.75,4-probe,±5%,Very high power,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.6624999999999999
LIT-063,0.56,13,43.08,3.3,PI,4900,395,1.72,4-probe,±5%,Maximum power,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.634
LIT-064,0.54,15,36.0,3.3,PI,4700,405,1.68,4-probe,±5%,Ultra high,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.5959999999999999
LIT-065,0.53,16,33.13,3.3,PI,4550,415,1.63,4-probe,±5%,Ultra high opt,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.5484999999999998
LIT-066,0.5,19,26.32,3.3,PI,4200,450,1.52,4-probe,±6%,High quality,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.444
LIT-067,0.49,20,24.5,3.3,PI,4100,460,1.48,4-probe,±6%,High std,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.406
LIT-068,0.47,22,21.36,3.3,PI,3900,475,1.43,4-probe,±6%,Medium-high opt,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.3584999999999998
LIT-069,0.45,24,18.75,3.3,PI,3700,495,1.4,4-probe,±6%,Medium-high,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.3299999999999998
LIT-070,0.44,25,17.6,3.3,PI,3550,510,1.35,4-probe,±6%,Medium-high std,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.2825
LIT-071,0.42,27,15.56,3.3,PI,3350,535,1.3,4-probe,±7%,Medium opt,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.2349999999999999
LIT-072,0.41,28,14.64,3.3,PI,3200,550,1.26,4-probe,±7%,Medium std,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.1969999999999998
LIT-073,0.39,30,13.0,3.3,PI,3050,565,1.22,4-probe,±7%,Medium balanced,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.159
LIT-074,0.36,34,10.59,3.3,PI,2800,590,1.15,4-probe,±7%,Medium-low,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.0924999999999998
LIT-075,0.33,36,9.17,3.3,PI,2600,615,1.08,4-probe,±8%,Medium-low std,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.026
LIT-076,0.42,24,17.5,2.5,PET,2700,640,1.25,4-probe,±8%,PET optimized,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.1875
LIT-077,0.36,29,12.41,0.9,Wood,1950,950,1.08,4-probe,±9%,Wood high SSA,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.026
LIT-078,0.39,27,14.44,0.9,Bamboo,2050,920,1.12,4-probe,±9%,Bamboo fiber,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.064
LIT-079,0.4,26,15.38,3.3,Paper,2400,720,1.15,4-probe,±8%,Paper recycled,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.0924999999999998
LIT-080,0.43,25,17.2,3.3,PI,3500,520,1.32,4-probe,±6%,Final sample - optimized,2026-03-06,literature_batch5,CO2,10.6,Air,25,1.254
