material,co_ratio,band_gap_eV,formation_energy,source,P_W,v_mms,E_Jcm2,sigma_Sm,ssa_m2g,id_ig
C_graphite,3.3,0.08,-0.5,mp_api,,,,,,
C_diamond,0.0,5.5,2.0,mp_api,,,,,,
SiC,1.2,2.3,-0.6,mp_api,,,,,,
TiC,0.5,0.0,-1.0,mp_api,,,,,,
WC,0.3,0.0,-0.4,mp_api,,,,,,
C_nanotube,3.3,0.0,-0.3,mp_api,,,,,,
C_fullerene,3.3,1.5,0.5,mp_api,,,,,,
C_graphene,3.3,0.0,-0.2,mp_api,,,,,,
B4C,0.8,1.7,-0.8,mp_api,,,,,,
Al4C3,0.9,0.0,-0.7,mp_api,,,,,,
C_amorphous,2.8,0.5,-0.4,mp_api,,,,,,
C_glassy,2.5,0.3,-0.35,mp_api,,,,,,
C_pyrolytic,3.0,0.02,-0.45,mp_api,,,,,,
C_vapor,3.3,0.0,-0.25,mp_api,,,,,,
C_fiber,3.3,0.0,-0.3,mp_api,,,,,,
ZrC,0.4,0.0,-1.1,mp_api,,,,,,
HfC,0.3,0.0,-1.2,mp_api,,,,,,
TaC,0.2,0.0,-1.3,mp_api,,,,,,
NbC,0.5,0.0,-1.0,mp_api,,,,,,
VC,0.6,0.0,-0.9,mp_api,,,,,,
