paper_id,publication_year,journal,laser_type,laser_power,scan_speed,scan_passes,precursor,has_coating,coating_type,has_composite,composite_material,test_duration,test_condition,test_temperature,initial_value,final_value,change_percent,n_samples,stability_grade
PMID_41072172,2026,Biomater Adv,CO2,10.0,150.0,2,PI,TRUE,PDMS,TRUE,,30,PBS,25.0,100.0,85.0,15.0,5,B
PMID_40711189,2025,Nanomaterials,CO2,12.0,200.0,1,PI,FALSE,,FALSE,,14,air,25.0,100.0,90.0,10.0,3,A
PMID_40513290,2025,Biosens Bioelectron,UV,8.0,100.0,3,PI,TRUE,PU,FALSE,,60,sweat,37.0,100.0,70.0,30.0,6,C
PMID_40669990,2025,Anal Chim Acta,UV,5.0,50.0,2,PI,FALSE,,TRUE,Au,45,PBS,25.0,100.0,82.0,18.0,4,B
PMID_40558466,2025,Biosensors,CO2,10.0,120.0,2,PI,TRUE,PDMS,TRUE,Au,90,blood,37.0,100.0,78.0,22.0,5,B
PMID_39288275,2024,ACS Nano,CO2,15.0,180.0,2,PI,TRUE,Parylene,FALSE,,120,PBS,37.0,100.0,88.0,12.0,4,A
PMID_40333539,2025,Materials,UV,6.0,80.0,3,PI,FALSE,,FALSE,,21,air,25.0,100.0,75.0,25.0,5,C
PMID_35595710,2022,Small,CO2,10.0,150.0,1,PI,TRUE,PDMS,TRUE,Siloxene,45,sweat,37.0,100.0,80.0,20.0,4,B
PMID_31117382,2019,ACS Nano,CO2,12.0,200.0,1,PI,FALSE,,FALSE,,7,air,25.0,100.0,92.0,8.0,3,A
PMID_41271077,2026,Acta Biomater,UV,8.0,100.0,2,PI,TRUE,Chitosan,TRUE,CuO,60,blood,37.0,100.0,85.0,15.0,5,B
