paper_id,doi,title,year,journal,P_W,v_mms,d_um,sigma_Sm,notes,status
LIG_001,,,Lin et al. Nature Comm 2014,2014,Nature Communications,10.6,50,100,1.2e5,Example data,To Extract
LIG_002,,,Tour et al. ACS Nano 2019,2019,ACS Nano,12.0,40,120,2.5e5,Example data,To Extract
LIG_003,,,Chyan et al. ACS Nano 2018,2018,ACS Nano,15.0,50,100,4.1e5,Example data,To Extract
LIG_004,,,,,,,,,,To Extract
LIG_005,,,,,,,,,,To Extract
LIG_006,,,,,,,,,,To Extract
LIG_007,,,,,,,,,,To Extract
LIG_008,,,,,,,,,,To Extract
LIG_009,,,,,,,,,,To Extract
LIG_010,,,,,,,,,,To Extract
