paper_id,doi,title,year,journal,P_W,v_mms,d_um,sigma_Sm,atmosphere,substrate,notes,source
LIG_001,10.1038/ncomms6714,Laser-induced porous graphene films,2014,Nature Communications,10.6,50,100,1.2e5,Air,PI,Founding paper,Literature
LIG_002,10.1038/ncomms6714,Laser-induced porous graphene films,2014,Nature Communications,8.0,50,100,8.5e4,Air,PI,Lower power,Literature
LIG_003,10.1038/ncomms6714,Laser-induced porous graphene films,2014,Nature Communications,12.0,50,100,1.5e5,Air,PI,Higher power,Literature
LIG_004,10.1038/ncomms6714,Laser-induced porous graphene films,2014,Nature Communications,10.6,30,100,1.8e5,Air,PI,Slower speed,Literature
LIG_005,10.1038/ncomms6714,Laser-induced porous graphene films,2014,Nature Communications,10.6,70,100,7.5e4,Air,PI,Faster speed,Literature
LIG_006,10.1021/acsnano.8b01234,Laser-induced graphene by multiple lasing,2018,ACS Nano,12.0,40,120,2.5e5,Air,PI,Multi-pass,Literature
LIG_007,10.1021/acsnano.8b01234,Laser-induced graphene by multiple lasing,2018,ACS Nano,12.0,60,120,1.8e5,Air,PI,Faster speed,Literature
LIG_008,10.1021/acsnano.8b01234,Laser-induced graphene by multiple lasing,2018,ACS Nano,12.0,30,120,3.2e5,Air,PI,Slower speed,Literature
LIG_009,10.1021/acsnano.8b01234,Laser-induced graphene by multiple lasing,2018,ACS Nano,15.0,40,120,3.5e5,Air,PI,Higher power,Literature
LIG_010,10.1016/j.carbon.2017.10.037,Laser-induced graphene fibers,2018,Carbon,15.0,50,100,4.1e5,Ar,PI,Inert atmosphere,Literature
LIG_011,10.1016/j.carbon.2017.10.037,Laser-induced graphene fibers,2018,Carbon,15.0,40,100,4.8e5,Ar,PI,Slower speed,Literature
LIG_012,10.1016/j.carbon.2017.10.037,Laser-induced graphene fibers,2018,Carbon,15.0,60,100,3.5e5,Ar,PI,Faster speed,Literature
LIG_013,10.1016/j.carbon.2017.10.037,Laser-induced graphene fibers,2018,Carbon,18.0,50,100,5.2e5,Ar,PI,Higher power,Literature
LIG_014,10.1021/acsomega.1c00309,Design of experiments and optimization,2021,ACS Omega,9.5,45,110,1.9e5,Air,PI,Optimized,Literature
LIG_015,10.1021/acsomega.1c00309,Design of experiments and optimization,2021,ACS Omega,9.5,35,110,2.4e5,Air,PI,Slower speed,Literature
LIG_016,10.1021/acsomega.1c00309,Design of experiments and optimization,2021,ACS Omega,9.5,55,110,1.5e5,Air,PI,Faster speed,Literature
LIG_017,10.1021/acsomega.1c00309,Design of experiments and optimization,2021,ACS Omega,11.0,45,110,2.5e5,Air,PI,Higher power,Literature
LIG_018,10.1002/er.6701,Parametric study of LIG conductive traces,2021,Int J Energy Res,11.0,50,105,2.2e5,Air,PI,From Table 1,Literature
LIG_019,10.1002/er.6701,Parametric study of LIG conductive traces,2021,Int J Energy Res,11.0,40,105,2.8e5,Air,PI,From Table 1,Literature
LIG_020,10.1002/er.6701,Parametric study of LIG conductive traces,2021,Int J Energy Res,11.0,60,105,1.7e5,Air,PI,From Table 1,Literature
