paper_id,doi,title,year,journal,P_W,v_mms,d_um,sigma_Sm,atmosphere,substrate,notes,status
LIG_001,10.1038/ncomms6714,Laser-induced porous graphene films from commercial polymers,2014,Nature Communications,10.6,50,100,1.2e5,Air,PI,Example data,To Extract
LIG_002,10.1021/acsnano.8b01234,Laser-induced graphene by multiple lasing,2018,ACS Nano,12.0,40,120,2.5e5,Air,PI,Example data,To Extract
LIG_003,10.1016/j.carbon.2022.01.001,Optimization of laser parameters for high-conductivity LIG,2022,Carbon,15.0,50,100,4.1e5,Ar,PI,Example data,To Extract
LIG_004,,,,,,,,,,,,To Extract
LIG_005,,,,,,,,,,,,To Extract
LIG_006,,,,,,,,,,,,To Extract
LIG_007,,,,,,,,,,,,To Extract
LIG_008,,,,,,,,,,,,To Extract
LIG_009,,,,,,,,,,,,To Extract
LIG_010,,,,,,,,,,,,To Extract
LIG_011,,,,,,,,,,,,To Extract
LIG_012,,,,,,,,,,,,To Extract
LIG_013,,,,,,,,,,,,To Extract
LIG_014,,,,,,,,,,,,To Extract
LIG_015,,,,,,,,,,,,To Extract
LIG_016,,,,,,,,,,,,To Extract
LIG_017,,,,,,,,,,,,To Extract
LIG_018,,,,,,,,,,,,To Extract
LIG_019,,,,,,,,,,,,To Extract
LIG_020,,,,,,,,,,,,To Extract
