sample_id,cnt_ratio,lig_ratio,graphene_ratio,mxene_ratio,base_conductivity,synergy_binary,synergy_ternary,synergy_quaternary,total_synergy,composite_conductivity,method,source
Q-0.10-0.10-0.10-0.70,0.1,0.1,0.1,0.7,242200.0,0.5849119097563887,0.00185,0.002800000000000001,1.5895619097563887,396465.7499118442,Quaternary Composite,Simulated
Q-0.10-0.10-0.20-0.60,0.1,0.1,0.2,0.6,336200.0,0.44071013171277607,0.0026000000000000003,0.004800000000000001,1.448110131712776,482815.7494013463,Quaternary Composite,Simulated
Q-0.10-0.10-0.30-0.50,0.1,0.1,0.3,0.5,430200.0,0.2837123602284079,0.0030499999999999998,0.006000000000000002,1.292762360228408,577758.9450293843,Quaternary Composite,Simulated
Q-0.10-0.10-0.40-0.40,0.1,0.1,0.4,0.4,524200.0,0.4476784683366879,0.0032000000000000006,0.006400000000000003,1.457278468336688,833712.4145443917,Quaternary Composite,Simulated
Q-0.10-0.10-0.50-0.30,0.1,0.1,0.5,0.3,618200.0,0.29496625167017393,0.0030499999999999998,0.006000000000000002,1.3040162516701739,794817.1826975094,Quaternary Composite,Simulated
Q-0.10-0.10-0.60-0.20,0.1,0.1,0.6,0.2,712200.0,0.40201024001441166,0.0026000000000000003,0.004800000000000002,1.4094102400144117,989680.6255432115,Quaternary Composite,Simulated
Q-0.10-0.10-0.70-0.10,0.1,0.1,0.7,0.1,806200.0,0.4849106854829119,0.00185,0.0028000000000000004,1.489560685482912,1314670.8921843965,Quaternary Composite,Simulated
Q-0.10-0.20-0.10-0.60,0.1,0.2,0.1,0.6,236400.0,0.5637716383521957,0.0023000000000000004,0.004800000000000001,1.5708716383521957,388453.4552376959,Quaternary Composite,Simulated
Q-0.10-0.20-0.20-0.50,0.1,0.2,0.2,0.5,330400.0,0.49529555951552134,0.0029000000000000007,0.008000000000000002,1.5061955595155214,483629.06131732895,Quaternary Composite,Simulated
Q-0.10-0.20-0.30-0.40,0.1,0.2,0.3,0.4,424400.0,0.5271983103871619,0.0032000000000000006,0.009600000000000004,1.539998310387162,674851.5129678492,Quaternary Composite,Simulated
Q-0.10-0.20-0.40-0.30,0.1,0.2,0.4,0.3,518400.0,0.5326924383272233,0.0032000000000000006,0.009600000000000003,1.5454924383272233,778906.3295997796,Quaternary Composite,Simulated
Q-0.10-0.20-0.50-0.20,0.1,0.2,0.5,0.2,612400.0,0.4557776725060936,0.0029000000000000007,0.008000000000000002,1.4666776725060937,873094.4830066828,Quaternary Composite,Simulated
Q-0.10-0.20-0.60-0.10,0.1,0.2,0.6,0.1,706400.0,0.4637246824528633,0.0023000000000000004,0.004800000000000002,1.4708246824528635,1054074.3465840505,Quaternary Composite,Simulated
Q-0.10-0.30-0.10-0.50,0.1,0.3,0.1,0.5,230600.0,0.5706468341260749,0.00255,0.006000000000000002,1.579196834126075,322358.06163848523,Quaternary Composite,Simulated
Q-0.10-0.30-0.20-0.40,0.1,0.3,0.2,0.4,324600.0,0.606168347555077,0.003000000000000001,0.009600000000000004,1.618768347555077,471070.4928403183,Quaternary Composite,Simulated
Q-0.10-0.30-0.30-0.30,0.1,0.3,0.3,0.3,418600.0,0.7781187018292957,0.00315,0.0108,1.7920687018292956,724851.6232068217,Quaternary Composite,Simulated
Q-0.10-0.30-0.40-0.20,0.1,0.3,0.4,0.2,512600.0,0.5608906970439448,0.0030000000000000005,0.009600000000000004,1.5734906970439448,757556.0985978266,Quaternary Composite,Simulated
Q-0.10-0.30-0.50-0.10,0.1,0.3,0.5,0.1,606600.0,0.46978188291567935,0.00255,0.006000000000000002,1.4783318829156793,913664.3133018911,Quaternary Composite,Simulated
Q-0.10-0.40-0.10-0.40,0.1,0.4,0.1,0.4,224800.0,0.6223281852765378,0.0026000000000000007,0.006400000000000003,1.6313281852765378,346743.00036472315,Quaternary Composite,Simulated
Q-0.10-0.40-0.20-0.30,0.1,0.4,0.2,0.3,318800.0,0.7113189372795408,0.0029000000000000007,0.009600000000000003,1.7238189372795407,502985.2926084434,Quaternary Composite,Simulated
Q-0.10-0.40-0.30-0.20,0.1,0.4,0.3,0.2,412800.0,0.660547158828347,0.0029000000000000007,0.009600000000000004,1.673047158828347,751367.4677954387,Quaternary Composite,Simulated
Q-0.10-0.40-0.40-0.10,0.1,0.4,0.4,0.1,506800.0,0.5157034705644378,0.0026000000000000007,0.006400000000000003,1.5247034705644378,762252.010915526,Quaternary Composite,Simulated
Q-0.10-0.50-0.10-0.30,0.1,0.5,0.1,0.3,219000.0,0.5948656128818032,0.0024500000000000004,0.006000000000000002,1.6033156128818031,352548.7742081173,Quaternary Composite,Simulated
Q-0.10-0.50-0.20-0.20,0.1,0.5,0.2,0.2,313000.0,0.7596538157301903,0.0026000000000000007,0.008000000000000002,1.7702538157301904,506723.16847554967,Quaternary Composite,Simulated
Q-0.10-0.50-0.30-0.10,0.1,0.5,0.3,0.1,407000.0,0.4827467702296417,0.0024500000000000004,0.006000000000000002,1.4911967702296418,587093.3748900819,Quaternary Composite,Simulated
Q-0.10-0.60-0.10-0.20,0.1,0.6,0.1,0.2,213200.0,0.7368626389247004,0.0021000000000000003,0.004800000000000002,1.7437626389247005,374244.4573845893,Quaternary Composite,Simulated
Q-0.10-0.60-0.20-0.10,0.1,0.6,0.2,0.1,307200.0,0.6755155747237325,0.0021000000000000007,0.004800000000000002,1.6824155747237324,481145.4269829109,Quaternary Composite,Simulated
Q-0.10-0.70-0.10-0.10,0.1,0.7,0.1,0.1,207400.0,0.8850226649776796,0.0015500000000000002,0.0028000000000000004,1.8893726649776796,400689.0596135239,Quaternary Composite,Simulated
Q-0.20-0.10-0.10-0.60,0.2,0.1,0.1,0.6,336200.0,0.5795556375491068,0.0032000000000000006,0.004800000000000001,1.587555637549107,514501.2484356061,Quaternary Composite,Simulated
Q-0.20-0.10-0.20-0.50,0.2,0.1,0.2,0.5,430200.0,0.6872778322899801,0.0044,0.008000000000000002,1.69967783228998,718404.1906975431,Quaternary Composite,Simulated
Q-0.20-0.10-0.30-0.40,0.2,0.1,0.3,0.4,524200.0,0.7241246942393096,0.005,0.009600000000000004,1.7387246942393095,878534.3348440585,Quaternary Composite,Simulated
Q-0.20-0.10-0.40-0.30,0.2,0.1,0.4,0.3,618200.0,0.6733529157881157,0.005,0.009600000000000003,1.6879529157881157,1159462.7953180787,Quaternary Composite,Simulated
