method,effect_size,standard_error,t_statistic,p_value,ci_lower,ci_upper,validity_score,sample_size,cohens_d,effect_magnitude,statistical_power,model_specification
difference_in_differences,1.7453,0.3699,4.718,0.0,1.0203,2.4703,0.965,0,0.0,,0.0,
instrumental_variables,0.5894,0.1001,5.887,0.0,0.3932,0.7857,1.0,0,0.0,,0.0,
regression_discontinuity,10.223,1.2114,8.439,0.0,7.8486,12.5974,0.448,0,0.0,,0.0,
difference_in_differences,1.7453,0.5231,3.336,0.0008,0.72,2.7707,1.0,200,0.0,,0.0,DID: Y = β₀ + β₁·Post + β₂·Treatment + β₃·(Post×Treatment) + ε
instrumental_variables,0.5894,0.1001,5.887,0.0,0.3932,0.7857,1.0,100,0.0,,0.0,2SLS: Stage1 X=π₀+π₁Z+ν | Stage2 Y=β₀+β₁X̂+ε
regression_discontinuity,10.223,1.2114,8.439,0.0,7.8486,12.5974,0.7,28,0.0,,0.0,RD: Y = β₀ + β₁·Treatment(RV≥cutoff) + ε
difference_in_differences,1.7453,0.5231,3.336,0.0008,0.72,2.7707,1.0,200,0.0,,0.0,DID: Y = β₀ + β₁·Post + β₂·Treatment + β₃·(Post×Treatment) + ε
instrumental_variables,0.5894,0.1001,5.887,0.0,0.3932,0.7857,1.0,100,0.0,,0.0,2SLS: Stage1 X=π₀+π₁Z+ν | Stage2 Y=β₀+β₁X̂+ε
regression_discontinuity,10.223,1.2114,8.439,0.0,7.8486,12.5974,0.7,28,0.0,,0.0,RD: Y = β₀ + β₁·Treatment(RV≥cutoff) + ε
propensity_score_matching,5.3526,0.5789,9.246,0.0,4.2179,6.4873,0.963,72,1.1,large,1.0,"PSM: ATT = E[Y(1)-Y(0)|T=1, matched on e(X)]"
difference_in_differences,1.7453,0.5231,3.336,0.0008,0.72,2.7707,1.0,200,0.0,,0.0,DID: Y = β₀ + β₁·Post + β₂·Treatment + β₃·(Post×Treatment) + ε
instrumental_variables,0.5894,0.1001,5.887,0.0,0.3932,0.7857,1.0,100,0.0,,0.0,2SLS: Stage1 X=π₀+π₁Z+ν | Stage2 Y=β₀+β₁X̂+ε
regression_discontinuity,10.223,1.2114,8.439,0.0,7.8486,12.5974,0.7,28,0.0,,0.0,RD: Y = β₀ + β₁·Treatment(RV≥cutoff) + ε
propensity_score_matching,5.3526,0.5789,9.246,0.0,4.2179,6.4873,0.963,72,1.1,large,1.0,"PSM: ATT = E[Y(1)-Y(0)|T=1, matched on e(X)]"
synthetic_control,-2.9389,0.7261,-4.048,0.0001,-4.362,-1.5158,0.85,25,-0.512,medium,0.982,SCM: Y_t(0) = Σ w_j·Y_jt (j in donor pool)
