"Timestamp","NorthStar","GrowthMomentum","ReturnQuality","UpgradeSatisfaction","ProgressClarity","StabilityScore","FailRate","StallSeconds","ConstraintFailed","RiskLevel","Mode"
"2026-03-07 02:37:48","0","0","0","0","0","0","0",,,"High","Acceleration"
"2026-03-07 02:38:53","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:39:56","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:41:35","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:46:50","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:49:19","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:49:21","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:51:12","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:52:27","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:56:04","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 02:59:12","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 03:00:36","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 03:01:39","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
"2026-03-07 03:03:48","65.0","60.0","70.0","65.0","60.0","70.0","2.00","300","0","Medium","Optimization"
